AUTO_ID;MERK;BOUWJAAR;KILOMETER_STAND;VRAAGPRIJS;EXTERIEUR_KLEUR;BRANDSTOF;CARROSSERIEVORM;MODEL
48430434;CITROEN;2014;112596;11850;GRIJS;BENZINE;MPV;C4 PICASSO
48430436;RENAULT;2002;194552;1650;BRUIN;BENZINE;HATCHBACK;CLIO
48430447;SMART;2021;150;25759;WIT;ELEKTRICITEIT;HATCHBACK;FORFOUR
48430489;VOLKSWAGEN;2003;197884;4350;ZWART;BENZINE;CABRIOLET;BEETLE
48430672;PEUGEOT;2003;218345;1945;GRIJS;BENZINE;STATIONWAGEN;206
48430701;VOLKSWAGEN;2002;183889;1250;GROEN;BENZINE;HATCHBACK;LUPO
48430736;FORD;2007;76646;2850;ZWART;BENZINE;HATCHBACK;KA
48431091;MERCEDES-BENZ;2017;19555;89900;GRIJS;BENZINE;CABRIOLET;C-KLASSE
48431395;PEUGEOT;2014;74736;7500;GRIJS;BENZINE;HATCHBACK;108
48431511;RENAULT;2008;191761;2244;ZWART;LPG;HATCHBACK;TWINGO
48432431;CITROEN;2018;9870;12950;GRIJS;ELEKTRICITEIT;HATCHBACK;C-ZERO
